entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,regime,holding_candles,equity
2026-01-20T12:00:00+00:00,2026-01-20T20:00:00+00:00,SHORT,90644.2,88390.6,360.93,TRAIL_TP,neutral,2,18554.59
2026-01-20T20:00:00+00:00,2026-01-21T04:00:00+00:00,SHORT,88390.6,89568.85,-211.95,SL,bear,2,18342.64
2026-01-21T04:00:00+00:00,2026-01-21T12:00:00+00:00,SHORT,89171.3,90359.95,-211.95,SL,neutral,2,18130.69
2026-01-21T12:00:00+00:00,2026-01-22T12:00:00+00:00,SHORT,90237.1,88953.6,201.35,TRAIL_TP,neutral,6,18332.04
2026-01-22T12:00:00+00:00,2026-01-22T20:00:00+00:00,SHORT,88953.6,89518.5,-107.26,TIME_EXIT_LOSS,bear,1,18224.78
2026-01-22T20:00:00+00:00,2026-01-23T12:00:00+00:00,SHORT,89518.5,88565.13,147.75,TP,bear,4,18372.53
2026-01-23T12:00:00+00:00,2026-01-24T12:00:00+00:00,SHORT,89711.2,89235.0,67.62,MAX_HOLD_EXIT,bear,6,18440.15
2026-01-24T12:00:00+00:00,2026-01-25T08:00:00+00:00,SHORT,89235.0,88284.65,147.75,TP,bear,5,18587.9
2026-01-25T08:00:00+00:00,2026-01-25T16:00:00+00:00,SHORT,88531.0,86459.4,339.0,TRAIL_TP,bear,2,18926.9
2026-01-25T16:00:00+00:00,2026-01-26T00:00:00+00:00,SHORT,86459.4,87611.9,-211.95,SL,bear,2,18714.95
2026-01-26T00:00:00+00:00,2026-01-26T08:00:00+00:00,SHORT,87233.1,87810.0,-111.2,TIME_EXIT_LOSS,bear,1,18603.75
2026-01-26T08:00:00+00:00,2026-01-26T16:00:00+00:00,SHORT,87810.0,87965.6,-38.58,TIME_EXIT_LOSS,bear,1,18565.17
2026-01-26T16:00:00+00:00,2026-01-27T00:00:00+00:00,SHORT,87965.6,88744.6,-144.84,TIME_EXIT_LOSS,bear,1,18420.33
2026-01-27T00:00:00+00:00,2026-01-27T08:00:00+00:00,SHORT,88744.6,87799.47,147.75,TP,bear,2,18568.08
2026-01-27T08:00:00+00:00,2026-01-27T16:00:00+00:00,SHORT,87947.5,88378.1,-85.44,TIME_EXIT_LOSS,bear,1,18482.64
