entry_i,exit_i,side,entry,exit,exit_type,pnl_pct,regime,duration
2014,2015,LONG,38787.0,39456.61473208079,TP,1.6464,Bullish Trend,1
2015,2021,LONG,39416.4,40201.791608360734,TP,1.9126,Bullish Trend,6
2021,2022,LONG,39555.1,40282.016106336174,TP,1.7577,Bullish Trend,1
2022,2023,LONG,39979.7,40771.968027312156,TP,1.9017,Bullish Trend,1
2023,2024,LONG,40720.7,41583.93895393272,TP,2.0399,Bullish Trend,1
2024,2027,LONG,41471.9,42421.77652865181,TP,2.2104,Bullish Trend,3
2027,2032,LONG,42001.0,43081.99413864724,TP,2.4937,Bullish Trend,5
2032,2033,LONG,42266.7,43343.05907580686,TP,2.4666,Bullish Trend,1
2033,2042,LONG,43834.0,42819.30056771603,SL,-2.3949,Bullish Trend,9
2042,2043,LONG,43899.4,42993.03733197962,SL,-2.1446,Bullish Trend,1
2043,2051,LONG,43206.4,44414.871821583845,TP,2.717,Bullish Trend,8
2051,2064,LONG,43967.6,43078.021972769704,SL,-2.1033,Bullish Trend,13
2064,2065,LONG,43810.0,43127.88364049962,SL,-1.637,Bullish Trend,1
2127,2147,SHORT,43969.7,42769.998421489545,TP,2.6485,Bearish Trend,20
2147,2148,SHORT,43645.3,42810.39179951715,TP,1.8329,Bearish Trend,1
2148,2151,SHORT,43008.4,43741.78801622886,SL,-1.7852,Bearish Trend,3
2151,2156,SHORT,43200.3,42348.14633189321,TP,1.8926,Bearish Trend,5
2156,2158,SHORT,42798.7,41888.652863540156,TP,2.0463,Bearish Trend,2
2158,2162,SHORT,42423.1,43183.718509320184,SL,-1.8729,Bearish Trend,4
2162,2165,SHORT,42495.9,43266.93295878524,SL,-1.8944,Bearish Trend,3
2165,2172,SHORT,43183.9,42200.2918089765,TP,2.1977,Bearish Trend,7
2172,2177,SHORT,42600.1,41596.494205255585,TP,2.2759,Bearish Trend,5
2177,2189,SHORT,42152.8,42659.9,EOD,-1.283,Bearish Trend,12
0,4,SHORT,62766.0,63707.49,SL,-1.58,Bearish Trend,4
4,12,SHORT,63119.9,61794.3821,TP,2.02,Bearish Trend,8
12,13,SHORT,62123.6,60819.0044,TP,2.02,Bearish Trend,1
13,17,SHORT,60983.5,59303.755,TP,2.6744,Bearish Trend,4
17,18,SHORT,59661.2,57894.105513197625,TP,2.8819,Bearish Trend,1
18,19,SHORT,60208.0,58407.76654796922,TP,2.91,Bearish Trend,1
19,20,SHORT,59092.4,56987.40465168571,TP,3.4822,Bearish Trend,1
20,24,SHORT,58214.0,56102.56646227959,TP,3.547,Bearish Trend,4
24,25,SHORT,57045.9,54617.16493307912,TP,4.1775,Bearish Trend,1
33,42,LONG,56713.2,54950.03196873003,SL,-3.1889,Bullish Trend,9
42,44,LONG,55830.9,58031.67447683863,TP,3.8619,Bullish Trend,2
44,51,LONG,55828.4,58111.983349927184,TP,4.0104,Bullish Trend,7
51,79,LONG,57407.1,59891.04009666923,TP,4.2469,Bullish Trend,28
79,83,LONG,59435.0,61310.20421202707,TP,3.0751,Bullish Trend,4
83,84,LONG,59886.3,61610.327691579165,TP,2.7988,Bullish Trend,1
84,85,LONG,60766.0,62601.24285646637,TP,2.9402,Bullish Trend,1
85,89,LONG,62617.3,64644.61408100449,TP,3.1576,Bullish Trend,4
89,95,LONG,63309.9,65291.41584671931,TP,3.0499,Bullish Trend,6
95,105,LONG,65125.2,63408.283490527225,SL,-2.7163,Bullish Trend,10
105,106,LONG,64728.9,63211.75151017149,SL,-2.4239,Bullish Trend,1
106,111,LONG,63500.1,65733.36303677707,TP,3.4369,Bullish Trend,5
111,112,LONG,64095.2,66185.1323759521,TP,3.1807,Bullish Trend,1
112,125,LONG,65791.5,68011.13649195553,TP,3.2937,Bullish Trend,13
125,135,LONG,67391.4,66027.40024476548,SL,-2.104,Bullish Trend,10
135,143,LONG,66641.0,65222.531285147976,SL,-2.2085,Bullish Trend,8
143,144,LONG,65631.8,64245.447475241184,SL,-2.1923,Bullish Trend,1
144,145,LONG,65350.8,63954.272655581095,SL,-2.217,Bullish Trend,1
145,150,LONG,64074.0,66156.93554774458,TP,3.1708,Bullish Trend,5
150,153,LONG,65773.0,67924.46507967054,TP,3.191,Bullish Trend,3
153,159,SHORT,67293.9,68785.12536964707,SL,-2.296,Bearish Trend,6
159,168,SHORT,68184.7,69500.12735479196,SL,-2.0092,Bearish Trend,9
168,169,SHORT,68215.5,69626.8025824698,SL,-2.1489,Bearish Trend,1
169,172,SHORT,69323.1,67240.59164278928,TP,2.9241,Bearish Trend,3
172,174,SHORT,68067.2,65884.24524752478,TP,3.1271,Bearish Trend,2
174,186,SHORT,66750.0,64481.08518791679,TP,3.3191,Bearish Trend,12
186,190,SHORT,64601.8,62443.360537728666,TP,3.2611,Bearish Trend,4
190,191,SHORT,62892.6,64501.712392565816,SL,-2.6385,Bearish Trend,1
191,192,SHORT,63403.0,65026.690078811116,SL,-2.6409,Bearish Trend,1
192,195,SHORT,65328.9,62867.40289754555,TP,3.6879,Bearish Trend,3
195,197,SHORT,64640.0,62160.81161294008,TP,3.7554,Bearish Trend,2
197,203,SHORT,62619.7,59870.20496217792,TP,4.3108,Bearish Trend,6
203,208,SHORT,60216.7,57546.2044582568,TP,4.3548,Bearish Trend,5
208,210,SHORT,59070.0,56478.46260717176,TP,4.3072,Bearish Trend,2
210,211,SHORT,58144.5,55331.729390877685,TP,4.7576,Bearish Trend,1
211,213,SHORT,53864.1,50342.50657724356,TP,6.4579,Bearish Trend,2
213,214,SHORT,51316.8,54327.4608908376,SL,-5.9468,Bearish Trend,1
214,220,SHORT,54289.8,56370.0,REGIME_FLIP,-3.9117,Bearish Trend,6
220,233,LONG,56370.0,60873.534988473504,TP,7.9092,Bullish Trend,13
