signal_time,entry_time,exit_time,side,entry_price,exit_price,pnl_usd,exit_type,holding_candles,bcd_conf,regime,gate,entry_mode,limit_px,miss_reason,execution_resolution
2025-08-22T16:00:00+00:00,,,SHORT,,,,MISS,0,0.25,bull,ADVISORY,pullback,117208.63,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-22T20:00:00+00:00,,,SHORT,,,,MISS,0,0.25,bull,ADVISORY,pullback,117481.99,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-23T12:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ADVISORY,pullback,114202.62,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-23T16:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,114529.38,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-23T20:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ADVISORY,pullback,114800.21,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-24T00:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,114431.47,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-24T04:00:00+00:00,,,LONG,,,,MISS,0,0.9333,bull,ACTIVE,pullback,114280.53,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-24T16:00:00+00:00,2025-08-24T20:00:00+00:00,2025-08-25T00:00:00+00:00,SHORT,113119.18,112316.04,94.5,TP,1,0.8969,neutral,ACTIVE,pullback,113119.18,,4H_OHLC_APPROX
2025-08-25T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,112027.05,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-25T08:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-25T16:00:00+00:00,SHORT,111739.62,110650.4,134.22,TRAIL_TP,1,0.9333,bear,ACTIVE,pullback,111739.62,,4H_OHLC_APPROX
2025-08-25T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,110614.32,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-26T00:00:00+00:00,2025-08-26T04:00:00+00:00,2025-08-26T08:00:00+00:00,SHORT,110374.12,109590.47,94.5,TP,1,0.9333,bear,ACTIVE,pullback,110374.12,,4H_OHLC_APPROX
2025-08-26T12:00:00+00:00,2025-08-26T16:00:00+00:00,2025-08-26T20:00:00+00:00,SHORT,110172.72,111641.33,-211.95,SL,1,0.9333,bear,ACTIVE,pullback,110172.72,,4H_OHLC_APPROX
2025-08-27T00:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,111930.57,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-27T04:00:00+00:00,2025-08-27T08:00:00+00:00,2025-08-28T04:00:00+00:00,SHORT,111241.44,112724.29,-211.95,SL,5,0.9333,bear,ACTIVE,pullback,111241.44,,4H_OHLC_APPROX
2025-08-28T08:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,113440.88,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-28T12:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,neutral,ACTIVE,pullback,113196.27,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-28T16:00:00+00:00,2025-08-28T20:00:00+00:00,2025-08-29T00:00:00+00:00,SHORT,112424.02,111625.81,94.5,TP,1,0.9333,neutral,ACTIVE,pullback,112424.02,,4H_OHLC_APPROX
2025-08-29T04:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,110518.84,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
2025-08-29T08:00:00+00:00,2025-08-29T12:00:00+00:00,2025-08-29T16:00:00+00:00,SHORT,110598.04,108155.5,319.27,TRAIL_TP,1,0.9333,bear,ACTIVE,pullback,110598.04,,4H_OHLC_APPROX
2025-08-29T20:00:00+00:00,,,SHORT,,,,MISS,0,0.9333,bear,ACTIVE,pullback,108874.06,NO_TOUCH_WITHIN_WAIT,4H_OHLC_APPROX
