entry_time,exit_time,side,entry,exit,exit_type,size_usd,net_pnl,equity
2024-01-08 08:00:00,2024-01-08 12:00:00,LONG,44637.2,46069.871377859294,TP,78617.93164698726,2460.4194032405053,97084.68497416897
2024-01-08 12:00:00,2024-01-08 16:00:00,LONG,44969.6,46455.65199372649,TP,78343.77205006339,2526.2499150044573,99610.93488917343
2024-01-08 16:00:00,2024-01-09 16:00:00,SHORT,47006.7,45265.62314868254,TP,71716.24969932524,2598.9185972851687,102209.8534864586
2024-01-09 16:00:00,2024-01-10 04:00:00,SHORT,46873.5,45205.39830778009,TP,76588.99278131704,2664.324898747175,104874.17838520577
2024-01-10 04:00:00,2024-01-10 16:00:00,SHORT,45766.4,47220.75840501289,SL,66004.54992531428,-2150.287207644378,102723.8911775614
2024-01-10 16:00:00,2024-01-11 08:00:00,SHORT,46498.9,48070.087232439255,SL,60801.76626767467,-2103.119236565364,100620.77194099603
2024-01-11 08:00:00,2024-01-12 08:00:00,SHORT,47068.5,44815.432035412414,TP,56054.752938879144,2638.3767827421207,103259.14872373815
2024-01-12 08:00:00,2024-01-12 12:00:00,SHORT,45958.0,43731.30652843906,TP,56832.65664424955,2708.1111739842863,105967.25989772244
2024-01-12 12:00:00,2024-01-12 16:00:00,SHORT,44495.1,42176.1417764077,TP,54220.02320301804,2782.4175787101826,108749.67747643263
2024-01-12 16:00:00,2024-01-13 16:00:00,SHORT,43497.5,42791.1,REGIME_FLIP,53282.9937109715,822.6901578774888,109572.36763431011
2024-01-28 08:00:00,2024-01-28 12:00:00,LONG,42456.6,41723.499734590216,SL,126914.97747862608,-2292.9793346691126,107279.388299641
2024-01-28 12:00:00,2024-01-29 12:00:00,LONG,42244.5,43208.57651907877,TP,125355.58549106898,2760.499219597567,110039.88751923856
2024-01-29 12:00:00,2024-01-29 20:00:00,LONG,42623.2,43651.97506186013,TP,121575.06035004497,2837.1369522330056,112877.02447147157
2024-01-29 20:00:00,2024-01-31 04:00:00,LONG,43287.7,42502.48372912871,SL,124454.54719861946,-2357.1041271883278,110519.92034428324
2024-01-31 04:00:00,2024-01-31 20:00:00,LONG,43031.6,42240.5960134255,SL,120248.4206149863,-2306.597143377652,108213.32320090558
2024-01-31 20:00:00,2024-02-07 16:00:00,LONG,42560.5,43798.886455662716,TP,99174.4942737328,2806.3490232718227,111019.6722241774
2024-02-07 16:00:00,2024-02-07 20:00:00,LONG,43596.1,44503.16916139978,TP,142290.5018556944,2846.6921911601735,113866.36441533756
2024-02-07 20:00:00,2024-02-08 08:00:00,LONG,44326.2,45281.607078442656,TP,140875.74762579982,2923.735786308376,116790.10020164594
2024-02-08 08:00:00,2024-02-08 16:00:00,LONG,44677.9,45586.761352528614,TP,153098.12740324344,2991.924170121303,119782.02437176724
2024-02-08 16:00:00,2024-02-08 20:00:00,LONG,45260.1,46246.25902335375,TP,146598.30102807228,3076.9086757580003,122858.93304752524
2024-02-08 20:00:00,2024-02-09 00:00:00,LONG,45269.1,46241.96195025706,TP,152449.5385202301,3154.278583784507,126013.21163130974
2024-02-09 00:00:00,2024-02-09 04:00:00,LONG,46046.5,47125.00038238155,TP,143470.01185894935,3245.5763006810816,129258.78793199082
2024-02-09 04:00:00,2024-02-09 08:00:00,LONG,46185.1,47271.46464078287,TP,146539.62576729254,3329.669310905926,132588.45724289675
2024-02-09 08:00:00,2024-02-10 20:00:00,LONG,47155.9,48322.752880726955,TP,142887.54841724585,3421.3821544101247,136009.83939730687
2024-02-10 20:00:00,2024-02-12 08:00:00,LONG,47732.6,48906.814462830866,TP,147437.08162395546,3508.9793852956727,139518.81878260255
2024-02-12 08:00:00,2024-02-12 12:00:00,LONG,47906.0,49119.98503310013,TP,146817.593306042,3603.047759557926,143121.86654216048
2024-02-12 12:00:00,2024-02-13 08:00:00,LONG,49925.4,48852.40685194813,SL,133186.61817807867,-2968.9866253856653,140152.8799167748
2024-02-13 08:00:00,2024-02-13 12:00:00,LONG,50004.0,48955.329386156765,SL,133658.83462061148,-2909.984666031982,137242.89525074282
2024-02-13 12:00:00,2024-02-14 04:00:00,LONG,48753.1,50287.63980761544,TP,116274.01801710358,3566.7913256061224,140809.68657634893
2024-02-14 04:00:00,2024-02-14 08:00:00,LONG,49845.0,51342.63114445295,TP,124973.51974183864,3654.9461595758416,144464.63273592477
2024-02-14 08:00:00,2024-02-26 12:00:00,LONG,51601.2,53289.95749127773,TP,117712.55407576264,3758.2201630307054,148222.85289895546
2024-02-26 12:00:00,2024-02-26 16:00:00,LONG,52872.3,54013.78127887295,TP,183081.01447661058,3806.144599057523,152028.997498013
2024-02-26 16:00:00,2024-02-26 20:00:00,LONG,54531.3,55851.632616096314,TP,167439.40166177362,3920.155078617602,155949.1525766306
2024-02-26 20:00:00,2024-02-27 00:00:00,LONG,54511.6,55833.451714946576,TP,171497.55865396926,4021.446021786986,159970.59859841756
2024-02-27 00:00:00,2024-02-27 08:00:00,LONG,55774.3,57471.01944959325,TP,140227.435707129,4153.700680725438,164124.29927914302
